city,date,temperature,feels_like,humidity,weather,wind_speed
Rabat,2025-01-27 15:00:00,20.37,20.24,68,scattered clouds,7.37
Rabat,2025-01-27 18:00:00,19.77,19.73,74,light rain,7.34
Rabat,2025-01-27 21:00:00,18.64,18.7,82,light rain,5.93
Rabat,2025-01-28 00:00:00,16.95,16.97,87,light rain,2.67
Rabat,2025-01-28 03:00:00,16.28,15.97,77,light rain,2.1
Rabat,2025-01-28 06:00:00,15.65,15.28,77,overcast clouds,2.64
Rabat,2025-01-28 09:00:00,16.17,15.7,71,clear sky,2.31
Rabat,2025-01-28 12:00:00,17.09,16.42,60,clear sky,3.63
Rabat,2025-01-28 15:00:00,17.13,16.44,59,clear sky,3.49
Rabat,2025-01-28 18:00:00,15.64,15.22,75,clear sky,3.22
Rabat,2025-01-28 21:00:00,14.17,13.81,83,few clouds,4.26
Rabat,2025-01-29 00:00:00,12.74,12.26,84,clear sky,3.15
Rabat,2025-01-29 03:00:00,12.12,11.55,83,clear sky,3.04
Rabat,2025-01-29 06:00:00,11.8,11.23,84,few clouds,2.74
Rabat,2025-01-29 09:00:00,12.74,12.13,79,overcast clouds,0.85
Rabat,2025-01-29 12:00:00,14.72,14.08,70,broken clouds,2.32
Rabat,2025-01-29 15:00:00,15.89,15.15,62,broken clouds,5.16
Rabat,2025-01-29 18:00:00,15.0,14.33,68,broken clouds,5.38
Rabat,2025-01-29 21:00:00,15.21,14.72,74,overcast clouds,6.46
Rabat,2025-01-30 00:00:00,15.38,14.78,69,moderate rain,9.0
Rabat,2025-01-30 03:00:00,15.1,14.13,56,light rain,7.98
Rabat,2025-01-30 06:00:00,14.46,13.63,64,light rain,8.17
Rabat,2025-01-30 09:00:00,13.89,13.21,72,moderate rain,9.41
Rabat,2025-01-30 12:00:00,14.84,14.05,64,light rain,10.12
Rabat,2025-01-30 15:00:00,15.11,14.19,58,light rain,7.91
Rabat,2025-01-30 18:00:00,14.61,13.67,59,light rain,9.2
Rabat,2025-01-30 21:00:00,14.44,13.48,59,light rain,6.57
Rabat,2025-01-31 00:00:00,14.02,13.2,66,light rain,5.41
Rabat,2025-01-31 03:00:00,13.71,12.89,67,light rain,5.4
Rabat,2025-01-31 06:00:00,13.18,12.28,66,light rain,4.15
Rabat,2025-01-31 09:00:00,13.65,12.87,69,light rain,3.84
